,tensor,cid
73,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011006281711161137, 0.0, 0.0, 0.0, 0.0, -0.011006281711161137]]",1814-ae9eedb427f5b2235befd37366fc09d7
74,"[[-0.5922701358795166, -0.39484673738479614, -0.32903894782066345, -0.13161557912826538, -0.23032726347446442, -0.19742336869239807, -0.09871168434619904, -0.032903894782066345, 0.0, 0.0, 0.0, 0.0, -0.032903894782066345, 0.0, 0.0, -0.032903894782066345]]",1278-ae9eedb427f5b2235befd37366fc09d7
75,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1176-183abbbe8fae350cc608984e93217b67
76,"[[-0.08260449767112732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",894-3953701085a61d85aa3495dcf7538988
77,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1628-7cff2e687e4d4557864a33ffbcb16738
78,"[[-0.012631949968636036, 0.0, -0.012631949968636036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",679-47b6bde9097b126d0887b9d744b4db3f
79,"[[-0.012481016106903553, -0.012481016106903553, -0.024962032213807106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1210-40707f1a2c89cf380dfcc9f35187801f
80,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1611-b27ddc7d85a1eaa205375d2905b9ce9a
81,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5305255055427551]]",1578-b769b7c4664af95672dabb38a2d2589e
82,"[[0.0, 0.0, 0.0, -0.038461923599243164, 0.0, 0.0, 0.0, -0.012820640578866005, 0.0, -0.02564128115773201, 0.0, 0.0, 0.0, -0.0705135241150856, 0.0, -0.012820640578866005]]",1133-945aba0d61c82ce0703573f9a8cb7028
83,"[[-0.04391802102327347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1578-0e117c1684b5ebd6093fc17b468455d1
84,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1229-None
85,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02190241776406765, 0.02190241776406765, 0.0657072514295578, 0.1095120906829834, 0.0, 0.02190241776406765, 0.240926593542099, 0.1314145028591156, 0.0438048355281353]]",739-b769b7c4664af95672dabb38a2d2589e
86,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.032766517251729965, -0.010922172106802464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032766517251729965]]",1097-ae9eedb427f5b2235befd37366fc09d7
87,"[[-0.2695319652557373, -0.12251453101634979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1619-8337b9cef94666f2dd2dde02a8292544
88,"[[0.02138669043779373, 0.0641600713133812, 0.0, 0.04277338087558746, 0.04277338087558746, 0.02138669043779373, 0.04277338087558746, 0.0, 0.02138669043779373, 0.04277338087558746, 0.02138669043779373, 0.192480206489563, 0.10693345218896866, 0.0641600713133812, 0.0, 0.0641600713133812]]",1240-0af607c2fa9f1ba55a2f31b9f4799d25
89,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1541-8337b9cef94666f2dd2dde02a8292544
90,"[[-0.015744516626000404, -0.03148903325200081, 0.0, -0.015744516626000404, -0.03148903325200081, -0.015744516626000404, -0.015744516626000404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015744516626000404]]",1710-7cff2e687e4d4557864a33ffbcb16738
91,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012664112262427807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012664112262427807]]",1751-0e117c1684b5ebd6093fc17b468455d1
92,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",802-d652fe8e03e91d2a282fe613952fea13
93,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04108458757400513, 0.0, 0.0, -0.020542293787002563, -0.020542293787002563]]",944-6e3448396e2ee63902a0af2aef147abd
94,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1572-b769b7c4664af95672dabb38a2d2589e
95,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1275-45fa465af00a041540e9493d26cef80b
96,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",751-0e117c1684b5ebd6093fc17b468455d1
97,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",927-0e117c1684b5ebd6093fc17b468455d1
98,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1751-a8ec907a5ac10f3960aabf52e1f65f1c
99,"[[-0.029859963804483414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",200-0e117c1684b5ebd6093fc17b468455d1
100,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1294-a8ec907a5ac10f3960aabf52e1f65f1c
101,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1396-a8ec907a5ac10f3960aabf52e1f65f1c
102,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1793-8337b9cef94666f2dd2dde02a8292544
103,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1459-702d277b9bc25a7f3de0cb1aa11d4727
